Region,Sample,Classification,Mean,Std,Variance,Zero %,NaN %,Inf %,Min,Max,Unique Values
adilabad,sample_029,VALID,20527.15625,16878.0859375,284869760.0,0.0,0.0,0.0,7749.5029296875,48369.9140625,68822
adilabad,sample_030,VALID,20323.466796875,16834.611328125,283404128.0,0.0,0.0,0.0,7540.97216796875,48676.6015625,68767
adilabad,sample_031,VALID,20387.96484375,16805.72265625,282432288.0,0.0,0.0,0.0,7540.97216796875,48359.6484375,68791
adilabad,sample_032,VALID,20459.68359375,16815.18359375,282750400.0,0.0,0.0,0.0,7540.97216796875,48359.6484375,68821
adilabad,sample_033,VALID,20516.5546875,16843.158203125,283692000.0,0.0,0.0,0.0,7648.71484375,48359.6484375,68828
adilabad,sample_034,VALID,20500.49609375,16875.8671875,284794880.0,0.0,0.0,0.0,7708.86083984375,48359.6484375,68832
adilabad,sample_035,VALID,20439.279296875,16910.603515625,285968480.0,0.0,0.0,0.0,7681.1298828125,48369.9140625,68875
agartala,sample_000,VALID,19654.1171875,16227.662109375,263337024.0,0.0,0.0,0.0,8033.6728515625,47306.3125,68395
agartala,sample_001,VALID,19722.830078125,16290.91796875,265394000.0,0.0,0.0,0.0,8002.47705078125,47306.3125,68495
agartala,sample_002,VALID,19827.6875,16369.6767578125,267966320.0,0.0,0.0,0.0,7984.3212890625,47306.3125,68597
agartala,sample_003,VALID,19925.765625,16449.67578125,270591808.0,0.0,0.0,0.0,7945.53271484375,47306.3125,68542
agartala,sample_004,VALID,19971.37890625,16520.103515625,272913824.0,0.0,0.0,0.0,7945.53271484375,47275.2109375,68468
agartala,sample_005,VALID,19990.71875,16552.65234375,273990272.0,0.0,0.0,0.0,7945.287109375,47275.2109375,68407
agartala,sample_006,VALID,19695.966796875,16243.158203125,263840192.0,0.0,0.0,0.0,8033.6728515625,47306.3125,68357
agartala,sample_007,VALID,19797.484375,16308.9619140625,265982224.0,0.0,0.0,0.0,8002.47705078125,47306.3125,68606
agartala,sample_008,VALID,19901.25,16382.802734375,268396240.0,0.0,0.0,0.0,7953.7763671875,47306.3125,68644
agartala,sample_009,VALID,19994.546875,16448.255859375,270545120.0,0.0,0.0,0.0,7945.53271484375,47306.3125,68533
agartala,sample_010,VALID,20005.609375,16503.72265625,272372864.0,0.0,0.0,0.0,7945.53271484375,47275.2109375,68448
agartala,sample_011,VALID,19966.666015625,16526.916015625,273138944.0,0.0,0.0,0.0,7945.287109375,47275.2109375,68385
agartala,sample_012,VALID,19695.1640625,16246.7080078125,263955520.0,0.0,0.0,0.0,8033.6728515625,47306.3125,68319
agartala,sample_013,VALID,19834.9375,16304.5703125,265839008.0,0.0,0.0,0.0,8002.47705078125,47306.3125,68628
agartala,sample_014,VALID,19959.384765625,16364.8642578125,267808768.0,0.0,0.0,0.0,7953.7763671875,47306.3125,68668
